start_date,start_time,end_date,end_time,sum,Manual_Review,num_true_positives_pitchtracked
2/24/25,02:00:00,2/24/25,03:00:00,1,1,0
2/24/25,03:00:00,2/24/25,04:00:00,0,0,0
2/24/25,04:00:00,2/24/25,05:00:00,27,1,25
2/24/25,05:00:00,2/24/25,06:00:00,35,1,32
2/24/25,06:00:00,2/24/25,07:00:00,60,1,60
2/24/25,07:00:00,2/24/25,08:00:00,2,1,0
2/24/25,08:00:00,2/24/25,09:00:00,60,1,60
2/24/25,09:00:00,2/24/25,10:00:00,52,1,36
2/24/25,10:00:00,2/24/25,11:00:00,2,2,0
2/24/25,11:00:00,2/24/25,12:00:00,1,2,0
2/24/25,12:00:00,2/24/25,13:00:00,40,1,31
2/24/25,13:00:00,2/24/25,14:00:00,0,0,0
2/24/25,14:00:00,2/24/25,15:00:00,1,2,0
2/24/25,15:00:00,2/24/25,16:00:00,2,0,0
2/24/25,16:00:00,2/24/25,17:00:00,1,0,0
2/24/25,17:00:00,2/24/25,18:00:00,4,2,1
2/24/25,18:00:00,2/24/25,19:00:00,9,1,6
2/24/25,19:00:00,2/24/25,20:00:00,13,1,6
2/24/25,20:00:00,2/24/25,21:00:00,5,1,1
2/24/25,21:00:00,2/24/25,22:00:00,8,0,0
2/24/25,22:00:00,2/24/25,23:00:00,15,1,2
2/24/25,23:00:00,2/24/25,24:00:00,4,1,1
2/25/25,00:00:00,2/25/25,01:00:00,1,0,0
2/25/25,01:00:00,2/25/25,02:00:00,3,0,0
2/25/25,02:00:00,2/25/25,03:00:00,10,2,1
2/25/25,03:00:00,2/25/25,04:00:00,0,0,0
2/25/25,04:00:00,2/25/25,05:00:00,0,0,0
2/25/25,05:00:00,2/25/25,06:00:00,10,1,1
2/25/25,06:00:00,2/25/25,07:00:00,0,0,0
2/25/25,07:00:00,2/25/25,08:00:00,1,2,1
2/25/25,08:00:00,2/25/25,09:00:00,8,1,0
2/25/25,09:00:00,2/25/25,10:00:00,4,1,3
2/25/25,10:00:00,2/25/25,11:00:00,0,0,0
2/25/25,11:00:00,2/25/25,12:00:00,4,0,0
2/25/25,12:00:00,2/25/25,13:00:00,1,1,0
2/25/25,13:00:00,2/25/25,14:00:00,3,0,0
2/25/25,14:00:00,2/25/25,15:00:00,2,0,0
2/25/25,15:00:00,2/25/25,16:00:00,1,0,0
2/25/25,16:00:00,2/25/25,17:00:00,6,0,0
2/25/25,17:00:00,2/25/25,18:00:00,0,0,0
2/25/25,18:00:00,2/25/25,19:00:00,1,2,0
2/25/25,19:00:00,2/25/25,20:00:00,6,0,0
2/25/25,20:00:00,2/25/25,21:00:00,10,1,10
2/25/25,21:00:00,2/25/25,22:00:00,9,1,6
2/25/25,22:00:00,2/25/25,23:00:00,13,1,8
2/25/25,23:00:00,2/25/25,24:00:00,20,1,14
2/26/25,00:00:00,2/26/25,01:00:00,9,1,5
2/26/25,01:00:00,2/26/25,02:00:00,2,0,0
2/26/25,02:00:00,2/26/25,03:00:00,2,0,0
2/26/25,03:00:00,2/26/25,04:00:00,3,0,0
2/26/25,04:00:00,2/26/25,05:00:00,0,0,0
2/26/25,05:00:00,2/26/25,06:00:00,1,0,0
2/26/25,06:00:00,2/26/25,07:00:00,5,0,0
2/26/25,07:00:00,2/26/25,08:00:00,1,0,0
2/26/25,08:00:00,2/26/25,09:00:00,17,1,11
2/26/25,09:00:00,2/26/25,10:00:00,19,1,13
2/26/25,10:00:00,2/26/25,11:00:00,7,1,5
2/26/25,11:00:00,2/26/25,12:00:00,9,1,6
