start_date,start_time,end_date,end_time,sum,num_true_positives_pitchtracked,Manual_Review
3/23/25,15:00:00,3/23/25,16:00:00,24,1,1
3/23/25,16:00:00,3/23/25,17:00:00,104,10,1
3/23/25,17:00:00,3/23/25,18:00:00,37,0,0
3/23/25,18:00:00,3/23/25,19:00:00,53,0,0
3/23/25,19:00:00,3/23/25,20:00:00,1,0,0
3/23/25,20:00:00,3/23/25,21:00:00,12,1,2
3/23/25,21:00:00,3/23/25,22:00:00,28,0,0
3/23/25,22:00:00,3/23/25,23:00:00,0,0,0
3/23/25,23:00:00,3/23/25,24:00:00,1,0,0
3/24/25,00:00:00,3/24/25,01:00:00,6,0,0
3/24/25,01:00:00,3/24/25,02:00:00,4,0,0
3/24/25,02:00:00,3/24/25,03:00:00,1,0,0
3/24/25,03:00:00,3/24/25,04:00:00,1,0,0
3/24/25,04:00:00,3/24/25,05:00:00,9,0,0
3/24/25,05:00:00,3/24/25,06:00:00,1,0,0
3/24/25,06:00:00,3/24/25,07:00:00,2,0,0
3/24/25,07:00:00,3/24/25,08:00:00,0,0,0
3/24/25,08:00:00,3/24/25,09:00:00,9,0,0
3/24/25,09:00:00,3/24/25,10:00:00,0,0,0
3/24/25,10:00:00,3/24/25,11:00:00,0,0,0
3/24/25,11:00:00,3/24/25,12:00:00,1,0,0
3/24/25,12:00:00,3/24/25,13:00:00,6,0,0
3/24/25,13:00:00,3/24/25,14:00:00,15,0,0
3/24/25,14:00:00,3/24/25,15:00:00,13,0,0
3/24/25,15:00:00,3/24/25,16:00:00,16,0,0
3/24/25,16:00:00,3/24/25,17:00:00,22,0,0
3/24/25,17:00:00,3/24/25,18:00:00,30,0,0
3/24/25,18:00:00,3/24/25,19:00:00,19,0,0
3/24/25,19:00:00,3/24/25,20:00:00,30,0,0
3/24/25,20:00:00,3/24/25,21:00:00,34,0,0
3/24/25,21:00:00,3/24/25,22:00:00,4,0,0
3/24/25,22:00:00,3/24/25,23:00:00,13,0,0
